
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
01-0222                          R31                             2109   1      1   1   1 1           1 0 XSIG090878          (4649-10-13)
01-0222                          R31                             2109   1      2   1   1 2           2 0 FPGA_MUL0           (4493-2-13)
01-0222                          R32                             2108   1      1   1   1 1           1 0 XSIG090886          (4649-11-13)
01-0222                          R32                             2108   1      2   1   1 2           2 0 FPGA_MUL1           (4493-3-13)
01-0222                          R33                             2111   1      1   1   1 1           1 0 XSIG090892          (4649-12-13)
01-0222                          R33                             2111   1      2   1   1 2           2 0 FPGA_MUL2           (4493-4-13)
01-0222                          R34                             2107   1      1   1   1 1           1 0 XSIG090898          (4649-13-13)
01-0222                          R34                             2107   1      2   1   1 2           2 0 FPGA_MUL3           (4493-5-13)
01-0222                          R35                             2106   1      1   1   1 1           1 0 XSIG090904          (4649-14-13)
01-0222                          R35                             2106   1      2   1   1 2           2 0 FPGA_MUL4           (4493-6-13)
01-0222                          R36                             2110   1      1   1   1 1           1 0 XSIG090916          (4649-15-13)
01-0222                          R36                             2110   1      2   1   1 2           2 0 FPGA_MUL5           (4493-7-13)
01-0222                          R37                             2104   1      1   1   1 1           1 0 XSIG090930          (4649-16-13)
01-0222                          R37                             2104   1      2   1   1 2           2 0 FPGA_MUL6           (4493-8-13)
01-0222                          R38                             2105   1      1   1   1 1           1 0 XSIG090936          (4649-17-13)
01-0222                          R38                             2105   1      2   1   1 2           2 0 FPGA_MUL7           (4493-9-13)
02-0098                          R1                              1937   1      1   1   1 1           1 0 XSIG012334          (4178-1-13)
02-0098                          R1                              1937   1      2   1   1 2           2 0 XSIG012335          (4178-2-13)
02-0098                          R2                              1947   1      1   1   1 1           1 0 XSIG012336          (4178-3-13)
02-0098                          R2                              1947   1      2   1   1 2           2 0 XSIG012337          (4178-4-13)
02-0098                          R3                              1942   1      1   1   1 1           1 0 XSIG020563          (4178-15-13)
02-0098                          R3                              1942   1      2   1   1 2           2 0 XSIG020564          (4178-16-13)
02-0098                          R4                              1943   1      1   1   1 1           1 0 XSIG021136          (4347-49-13)
02-0098                          R4                              1943   1      2   1   1 2           2 0 XSIG021137          (4347-50-13)
02-0098                          R5                              1938   1      1   1   1 1           1 0 XSIG031656          (4347-104-13)
02-0098                          R5                              1938   1      2   1   1 2           2 0 XSIG031657          (4347-105-13)
02-0098                          R6                              1948   1      1   1   1 1           1 0 XSIG032218          (4347-159-13)
02-0098                          R6                              1948   1      2   1   1 2           2 0 XSIG032219          (4347-160-13)
02-0098                          R7                              1939   1      1   1   1 1           1 0 XSIG040506          (4347-214-13)
02-0098                          R7                              1939   1      2   1   1 2           2 0 XSIG040507          (4347-215-13)
02-0098                          R8                              1949   1      1   1   1 1           1 0 XSIG041068          (4347-269-13)
02-0098                          R8                              1949   1      2   1   1 2           2 0 XSIG041069          (4347-270-13)
02-0098                          R9                              1944   1      1   1   1 1           1 0 XSIG050506          (4347-324-13)
02-0098                          R9                              1944   1      2   1   1 2           2 0 XSIG050507          (4347-325-13)
02-0098                          R10                             1945   1      1   1   1 1           1 0 XSIG051068          (4347-379-13)
02-0098                          R10                             1945   1      2   1   1 2           2 0 XSIG051069          (4347-380-13)
02-0098                          R11                             1940   1      1   1   1 1           1 0 XSIG060506          (4347-434-13)
02-0098                          R11                             1940   1      2   1   1 2           2 0 XSIG060507          (4347-435-13)
02-0098                          R12                             1950   1      1   1   1 1           1 0 XSIG061068          (4347-489-13)
02-0098                          R12                             1950   1      2   1   1 2           2 0 XSIG061069          (4347-490-13)
02-0098                          R13                             1936   1      1   1   1 1           1 0 XSIG070506          (4347-544-13)
02-0098                          R13                             1936   1      2   1   1 2           2 0 XSIG070507          (4347-545-13)
02-0098                          R14                             1946   1      1   1   1 1           1 0 XSIG071068          (4347-599-13)
02-0098                          R14                             1946   1      2   1   1 2           2 0 XSIG071069          (4347-600-13)
02-0098                          R15                             1941   1      1   1   1 1           1 0 XSIG080506          (4347-654-13)
02-0098                          R15                             1941   1      2   1   1 2           2 0 XSIG080507          (4347-655-13)
02-0118                          R16                             2041   1      1   1   1 1           1 0 UB0D0_SIN           (4178-8-13)
02-0118                          R16                             2041   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R17                             2051   1      1   1   1 1           1 0 UB0D1_SIN           (4178-13-13)
02-0118                          R17                             2051   1      2   1   1 2           2 0 GND                 (4178-22-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
02-0118                          R18                             2046   1      1   1   1 1           1 0 UB0D2_SIN           (4178-20-13)
02-0118                          R18                             2046   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R19                             2042   1      1   1   1 1           1 0 UB1D0_SIN           (4347-109-13)
02-0118                          R19                             2042   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R20                             2053   1      1   1   1 1           1 0 UB1D1_SIN           (4347-164-13)
02-0118                          R20                             2053   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R21                             2050   1      1   1   1 1           1 0 UB1D2_SIN           (4347-54-13)
02-0118                          R21                             2050   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R22                             2043   1      1   1   1 1           1 0 UB2D0_SIN           (4347-219-13)
02-0118                          R22                             2043   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R23                             2054   1      1   1   1 1           1 0 UB2D1_SIN           (4347-274-13)
02-0118                          R23                             2054   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R24                             2049   1      1   1   1 1           1 0 UB2D2_SIN           (4347-329-13)
02-0118                          R24                             2049   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R25                             2044   1      1   1   1 1           1 0 UB3D0_SIN           (4347-439-13)
02-0118                          R25                             2044   1      2   1   1 2           2 0 GND                 (4178-22-13)
