
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
02-0098                          R1                              1945   1      1   1   1 1           1 0 XSIG012334          (4178-1-13)
02-0098                          R1                              1945   1      2   1   1 2           2 0 XSIG012335          (4178-2-13)
02-0098                          R2                              1940   1      1   1   1 1           1 0 XSIG012336          (4178-3-13)
02-0098                          R2                              1940   1      2   1   1 2           2 0 XSIG012337          (4178-4-13)
02-0098                          R3                              1950   1      1   1   1 1           1 0 XSIG020563          (4178-15-13)
02-0098                          R3                              1950   1      2   1   1 2           2 0 XSIG020564          (4178-16-13)
02-0098                          R4                              1946   1      1   1   1 1           1 0 XSIG021136          (4347-49-13)
02-0098                          R4                              1946   1      2   1   1 2           2 0 XSIG021137          (4347-50-13)
02-0098                          R5                              1941   1      1   1   1 1           1 0 XSIG031656          (4347-104-13)
02-0098                          R5                              1941   1      2   1   1 2           2 0 XSIG031657          (4347-105-13)
02-0098                          R6                              1936   1      1   1   1 1           1 0 XSIG032218          (4347-159-13)
02-0098                          R6                              1936   1      2   1   1 2           2 0 XSIG032219          (4347-160-13)
02-0098                          R7                              1942   1      1   1   1 1           1 0 XSIG040506          (4347-214-13)
02-0098                          R7                              1942   1      2   1   1 2           2 0 XSIG040507          (4347-215-13)
02-0098                          R8                              1937   1      1   1   1 1           1 0 XSIG041068          (4347-269-13)
02-0098                          R8                              1937   1      2   1   1 2           2 0 XSIG041069          (4347-270-13)
02-0098                          R9                              1947   1      1   1   1 1           1 0 XSIG050506          (4347-324-13)
02-0098                          R9                              1947   1      2   1   1 2           2 0 XSIG050507          (4347-325-13)
02-0098                          R10                             1948   1      1   1   1 1           1 0 XSIG051068          (4347-379-13)
02-0098                          R10                             1948   1      2   1   1 2           2 0 XSIG051069          (4347-380-13)
02-0098                          R11                             1943   1      1   1   1 1           1 0 XSIG060506          (4347-434-13)
02-0098                          R11                             1943   1      2   1   1 2           2 0 XSIG060507          (4347-435-13)
02-0098                          R12                             1938   1      1   1   1 1           1 0 XSIG061068          (4347-489-13)
02-0098                          R12                             1938   1      2   1   1 2           2 0 XSIG061069          (4347-490-13)
02-0098                          R13                             1944   1      1   1   1 1           1 0 XSIG070506          (4347-544-13)
02-0098                          R13                             1944   1      2   1   1 2           2 0 XSIG070507          (4347-545-13)
02-0098                          R14                             1939   1      1   1   1 1           1 0 XSIG071068          (4347-599-13)
02-0098                          R14                             1939   1      2   1   1 2           2 0 XSIG071069          (4347-600-13)
02-0098                          R15                             1949   1      1   1   1 1           1 0 XSIG080506          (4347-654-13)
02-0098                          R15                             1949   1      2   1   1 2           2 0 XSIG080507          (4347-655-13)
02-0118                          R16                             2050   1      1   1   1 1           1 0 UB0D0_SIN           (4178-8-13)
02-0118                          R16                             2050   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R17                             2045   1      1   1   1 1           1 0 UB0D1_SIN           (4178-13-13)
02-0118                          R17                             2045   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R18                             2055   1      1   1   1 1           1 0 UB0D2_SIN           (4178-20-13)
02-0118                          R18                             2055   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R19                             2047   1      1   1   1 1           1 0 UB1D0_SIN           (4347-109-13)
02-0118                          R19                             2047   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R20                             2043   1      1   1   1 1           1 0 UB1D1_SIN           (4347-164-13)
02-0118                          R20                             2043   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R21                             2052   1      1   1   1 1           1 0 UB1D2_SIN           (4347-54-13)
02-0118                          R21                             2052   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R22                             2049   1      1   1   1 1           1 0 UB2D0_SIN           (4347-219-13)
02-0118                          R22                             2049   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R23                             2042   1      1   1   1 1           1 0 UB2D1_SIN           (4347-274-13)
02-0118                          R23                             2042   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R24                             2053   1      1   1   1 1           1 0 UB2D2_SIN           (4347-329-13)
02-0118                          R24                             2053   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R25                             2048   1      1   1   1 1           1 0 UB3D0_SIN           (4347-439-13)
02-0118                          R25                             2048   1      2   1   1 2           2 0 GND                 (4178-22-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
02-0118                          R26                             2044   1      1   1   1 1           1 0 UB3D1_SIN           (4347-494-13)
02-0118                          R26                             2044   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R27                             2054   1      1   1   1 1           1 0 UB3D2_SIN           (4347-384-13)
02-0118                          R27                             2054   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R28                             2046   1      1   1   1 1           1 0 UB4D0_SIN           (4347-549-13)
02-0118                          R28                             2046   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R29                             2041   1      1   1   1 1           1 0 UB4D1_SIN           (4347-604-13)
02-0118                          R29                             2041   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0118                          R30                             2051   1      1   1   1 1           1 0 UB4D2_SIN           (4347-659-13)
02-0118                          R30                             2051   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C46                             2106   1      1   1   1 1           1 0 +7V                 (4649-9-13)
10-0057                          C46                             2106   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C47                             2105   1      1   1   1 1           1 0 +7V                 (4649-9-13)
10-0057                          C47                             2105   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C48                             2104   1      1   1   1 1           1 0 +7V                 (4649-9-13)
10-0057                          C48                             2104   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C49                             2110   1      1   1   1 1           1 0 +7V                 (4649-9-13)
